route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113G,SA,115543832,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543833,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543834,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543835,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543836,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543837,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543838,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543839,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543840,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543841,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543842,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543843,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543844,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543845,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543846,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543847,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543848,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543849,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543850,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543852,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543853,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543854,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543855,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543857,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543858,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543859,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SU,115543865,Union Station,0, 113 31,1316730
113G,SU,115543866,Union Station,0, 113 30,1316730
